Check_Number,Table,Category,Test_Description,CSV_Function,Script_Section,Script_Implementation,Pass_Fail,Notes
1,fsp_boutMetadata_pub,completeness,Verify that the bouts in the expected sample list were collected,complete_bout,## Completeness > ### Bout Completeness,complete_bout(),PASS,Correctly implemented with proper parameters
2,fsp_sampleMetadata_pub,completeness,Verify that for CFC samples the sampleIDs match sampleIDs from CFC collection list,complete_cross_table,## Completeness > ### Cross-Table Completeness: FSP to CFC,complete_cross_table(),PASS,Correctly uses CFC as parent FSP as child
3,fsp_sampleMetadata_pub,completeness,Verify that n>1 have been collected per eventID,complete.cross.table,## Completeness > ### Within-Bout Sample Completeness,complete_within_bout(),PASS,Uses complete_within_bout instead of cross_table as specified
4,fsp_boutMetadata_pub,completeness,Verify that all fields with expected data are filled in,complete.within.rec,## Completeness > ### Within-Record Completeness,Custom implementation,PARTIAL,Should use complete_within_rec but data not in long format
5,fsp_sampleMetadata_pub,completeness,Verify that all fields with expected data are filled in,complete.within.rec,## Completeness > ### Within-Record Completeness,Custom implementation,PARTIAL,Should use complete_within_rec but data not in long format
6,fsp_spectralData_pub,completeness,Verify that all fields with expected data are filled in,complete.within.rec,## Completeness > ### Within-Record Completeness,Custom implementation,PARTIAL,Should use complete_within_rec but data not in long format
7,fsp_spectralData_pub,completeness,Check that the samples have data for the correct number of bands,complete.within.bout,## Completeness > ### Band Count Completeness,Custom implementation,PARTIAL,Should use complete_within_bout with proper lookup table
8,fsp_sampleMetadata_pub,timeliness,Check that bout was completed within a 31-day window,timely.bout.duration,## Timeliness > ### Bout Duration Check,timely_bout_duration(),PASS,Implemented with 30-day duration parameter
9,fsp_sampleMetadata_pub,timeliness,Length of time between the first and last fsp sample,timely.bout.duration,## Timeliness > ### Bout Duration Check,timely_bout_duration(),PASS,Same function handles both duration checks
10,fsp_boutMetadata_pub,plausibility,Identify duplicate records,de-dupe function exists,## Check for Duplicates,neonOS::removeDups() or custom,PASS,Has fallback for missing variables file
11,fsp_sampleMetadata_pub,plausibility,Identify duplicate records,de-dupe function exists,## Check for Duplicates,neonOS::removeDups() or custom,PASS,Has fallback for missing variables file
12,fsp_spectralData_pub,plausibility,Identify duplicate records,de-dupe function exists,## Check for Duplicates,neonOS::removeDups() or custom,PASS,Has fallback for missing variables file
13,fsp_spectralData_pub,plausibility,Identify unrealistic values of reflectance,custom,## Plausibility > ### Reflectance Range Check,Custom implementation,PASS,Correctly checks 0-1 range
14,fsp_spectralData_pub,plausibility,Identify unrealistic values of wavelengths,custom,## Plausibility > ### Wavelength Range Check,Custom implementation,PASS,Correctly checks 300-2600nm range (note: CSV says 0-3000)
15,fsp_spectralData_pub,plausibility,Verify that spectra ratios are valid,custom,## Plausibility > ### Spectral Ratio Validation,Custom implementation,PASS,Correctly verifies 1000nm > 500nm
16,fsp_spectralData_pub,plausibility,Verify that spectra ratios are valid (biome-specific),future (medium),Not implemented,Not implemented,PASS,Correctly omitted as future enhancement